ingredient,cas_number
"(3R,4S,5S,6R)-2-HEXOXY-6-(HYDROXYMETHYL)OXANE-3,4,5-TRIOL",54549-24-5
(4-FORMYLPHENYL)BORONIC ACID,87199-17-5
"[(2R,3R,4R,5R)-2-(2-AMINO-6-OXO-3H-PURIN-9-YL)-4-HYDROXY-5-(HYDROXYMETHYL)OXOLAN-3-YL] DIHYDROGEN PHOSPHATE",12237-24-0
[3-[[(2R)-1-[(2R)-1-[(2S)-2-[(3R)-3-HYDROXYBUTOXY]PROPOXY]PROPAN-2-YL]OXYPROPAN-2-YL]OXYCARBONYLAMINO]-4-METHYLPHENYL]CARBAMIC ACID,68400-67-9
"1,2-THIAZOL-3-ONE",1003-07-2
"1,3,5-TRIAZINE-2,4,6(1H,3H,5H)-TRIONE, 1,3,5-TRICHLORO-",87-90-1
"1,3-CYCLOHEXANEDIMETHANAMINE",2579-20-6
"1,4-BIS(2,4,6-TRIMETHYLANILINO)ANTHRACENE-9,10-DIONE",116-75-6
"1,4-DIAMINO-2,3-DICHLOROANTHRACENE-9,10-DIONE",81-42-5
"1-[3-(2,4-DIAMINO-6-METHYLQUINAZOLIN-7-YL)PHENYL]ETHANONE",93348-22-2
"10-ETHOXY-9,9-DIMETHYLDECAN-1-AMINE",68603-58-7
"2,3-DIMETHYLPHENOL",1300-71-6
"2,4,5-TRIMETHOXYBENZOIC ACID",490-64-2
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",68039-49-6
"2,5-FURANDIONE, HOMOPOLYMER, SODIUM SALT",70247-90-4
"2,6-DIMETHYL-7-OCTEN-2-OL",18479-58-8
"2,6-DITHIA-1,3,5,7-TETRAAZATRICYCLO[3.3.1.13,7]DECANE, 2,2,6,6-TETRAOXIDE",80-12-6
2-(BENZOTRIAZOL-2-YL)-4-TERT-BUTYLPHENOL,3147-76-0
2-[(2-METHOXY-4-NITROPHENYL)DIAZENYL]-N-(2-METHOXYPHENYL)-3-OXOBUTANAMIDE,6358-31-2
2-[METHYL(2-OCTADECANOYLOXYETHYL)AMINO]ETHYL OCTADECANOATE,13998-76-0
2-ACETYLOXYETHYL ACETATE,27252-83-1
2-AMINOETHANOL; BENZENESULFONIC ACID,68910-32-7
"2-AMINOETHANOL;2-HYDROXYPROPANE-1,2,3-TRICARBOXYLIC ACID",17863-38-6
"2-BROMO-2-NITROPROPANE-1,3-DIOL",52-51-7
2-ETHYL-2-METHYLHEXANOIC ACID,1185-29-1
2-HYDROXYETHYL 18-HEXADECANOYLOXYOCTADECANOATE,91031-31-1
2-METHYL-3-PHENYLPROPAN-1-OL,7384-80-7
