ingredient,cas_number
BUTYLATED HYDROXYTOLUENE (BHT),0
BUTYLPHENYL METHYLPROPIONAL,0
C.I. 21108,0
C.I. 50415B,0
C.I. 77266,0
C.I. ACID BLUE 182,72152-54-6
C.I. ACID BLUE 7,3486-30-4
C.I. ACID BLUE 80,4474-24-2
C.I. ACID YELLOW 17,6359-98-4
C.I. DIRECT BLUE 199,12222-04-7
C.I. DIRECT BLUE 86,1330-38-7
C.I. DIRECT VIOLET 9,6227-14-1
C.I. GREEN 8,6358-69-6
C.I. PIGMENT BLUE 29,57455-37-5
C.I. PIGMENT GREEN 7,1328-53-6
C.I. PIGMENT RED 5,6410-41-9
C.I. PIGMENT RED 57,4/9/81
C.I. PIGMENT YELLOW 74,6358-31-2
C.I. PIGMENT YELLOW 97,12225-18-2
C.I. RED 4,4548-53-2
C.I. RED 40,25956-17-6
C.I. SOLVENT GREEN 28,71839-01-5
C10 ETHOXYLATED ALCOHOL,160875-66-1
C10-12 ALCOHOL ETHOXYLATES,66455-15-0
C10-16 ALCOHOLS ETHOXYLATED,68002-97-1
C10-16 ALCOHOLS ETHOXYLATED PROPOXYLATED,69227-22-1
C10-16 ALKYL GLUCOSIDE,110615-47-9
C10-16 ALKYLDIMETHYLAMINE OXIDE,70592-80-2
C10-16 PARETH,68002-97-1
C11-15 PARETH-7,0
C11-15 SEC-PARETH-12,0
C12-14 SECONDARY ALCOHOL ETHOXYLATE,84133-50-6
C12-15 ALCOHOLS ETHOXYLATED,68131-39-5
C12-15 PARETH,68131-39-5
C12-16 ALCOHOLS ETHOXYLATED,68551-12-2
C12-16 PARETH,68002-97-1
C12-18 ALCOHOLS ETHOXYLATED,69227-21-0
C13-14 ISOPARAFFIN,64742-47-8
C14-15 ALCOHOLS,0
C14-15 PARETH,68951-67-7
C14-15 PARETH-20,0
"C16-18 AND C18-UNSATD., ETHOXYLATED",68920-66-1
C16-18 FATTY ACIDS,67701-03-5
C16-18 GLYCERIDES,67701-30-8
C6-10 ALCOHOLS ETHOXYLATED PROPOXYLATED,68987-81-5
C9-11 ALCOHOLS ETHOXYLATE,68439-46-3
C9-11 ALCOHOLS ETHOXYLATED,68439-46-3
C9-11 ALKYL GLUCOSIDE,0
C9-11 PARETH,68439-46-3
C9-11 PARETH (NA),68439-46-3
C9-11 PARETH-6,0
C9-11 PARETH-8,0
C9-C11 ALKYL POLYGLUCOSIDE,132778-08-6
C9-C11 PARETH,68439-46-3
CALCIUM CARBONATE,0
CALCIUM CHLORIDE,10043-52-4
CALCIUM DISODIUM EDTA,62-33-9
CALCIUM FORMATE,544-17-2
CAMPHOR,0
CANOLA-BASED CATIONIC SURFACTANT SYSTEM,0
CAPRYLYL/CAPRYL GLUCOSIDE,68515-73-1
CAPRYLYL/CAPRYL GLUCOSIDE (GLUCÓSIDO CAPRÍLICO),68515-73-1
CAPRYLYL/DECYL GLUCOSIDE,68515-73-1
CAPRYLYL/MYRISTYL GLUCOSIDE,68515-73-1
CARAMEL,8028-89-5
CARBOMER,1/4/03
CARBON DIOXIDE,124-38-9
"CARBONIC ACID, DISODIUM SALT",497-19-8
"CARBONIC ACID, DISODIUM SALT, COMPOUND WITH HYDROGEN PEROXIDE (2:3)",15630-89-4
"CARBONIC ACID, MONOSODIUM SALT",144-55-8
CARBOXYMETHYL INULIN,430439-54-6
CARNAUBA WAX,0
CARRAGEENAN,0
CATALASE,5/2/01
CATIONIC POLYMER,Not Available
CAUSTIC SODA (CAS #1310-73-2),0
CELLULASE ENZYME,9012-54-8
CELLULASEDL,9012-54-8
CELLULOSE,0
CELLULOSE GUM,9004-32-4
CETEARETH-25,68439-49-6
CETYL BETAINE,693-33-4
CHELATING AGENT,0
CHELATING AGENTS,0
CHELATOR,0
CHROMOPHORE SUBSTITUTED POLYOXYALKYLENE,withheld
CI ACID BLUE 9,3844-45-9
"CI FLUORESCENT BRIGHTNER 71, 244, 250, OR260",16090-02-1
CI PIGMENT BLUE 15,0
CI PIGMENT RED 146,0
CIBA TINUVIN 5050,0
CIBA TINUVIN 5060,0
CINNAMOMUM CAMPHORA (CAMPHOR) BARK OIL,0
CITRAL (CAS# 5392-40-5),0
CITRIC ACID,77-92-9
CITRIC ACID (ÁCIDO CÍTRICO),77-92-9
CITRIC ACID (CAS# 77-92-9),0
CITRIC ACID (CAS#77-92-9),0
CITRONELLOL (CAS# 106-22-9),0
CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL,0
CITRUS GRANDIS (GRAPEFRUIT) FRUIT EXTRACT,0
CLARIANT SOLVAPERM BLUE 2B,0
CLARIANT SOLVAPERM ORANGE 3G,0
CLARIANT SOLVAPERM RED PFS,0
CLAY,Not Available
COCAMIDE MEA,68140-00-1
COCAMIDOPROPYL BETAINE,61789-40-0
COCAMINE OXIDE,61788-90-7
COCONUT ACID,61788-47-4
COCOS NUCIFERA (COCONUT) OIL,8001-31-8
COCOS NUCIFERA (SAPONIFIED ORGANIC COCONUT OIL) AND POTASSIUM HYDROXIDE,61789-30-8
COCOS NUCIFERA OIL AND POTASSIUM HYDROXIDE (SAPONIFIED ORGANIC COCONUT OIL),61789-30-8
COLANYL BLUE B2G 131,0
COLANYL YELLOW G132,0
COLORANT,withheld
COLORANT INGREDIENT,withheld
COLORANTS,Not Available
COMPRESSED AIR,132259-10-0
CONCENTRATED SURFACTANTS (NONIONIC AND ANIONIC) AND ENZYMES,0
CONFIDENTIAL STABILIZER PACKAGE,withheld
CONTAINS ANIONIC AND/OR NONIONIC SURFACTANTS,0
CONTAINS BIODEGRADABLE ANIONIC AND/OR NONIONIC SURFACTANTS,0
CONTAINS BIODEGRADABLE FABRIC SOFTENING AGENTS (CATIONIC),0
CONTAINS FABRIC SOFTENING AGENTS (CATIONIC TYPES) AND PERFUME IN A NON-WOVEN SHEET,0
CONTAINS FABRIC SOFTENING AGENTS (CATIONIC TYPES) IN A NON-WOVEN SHEET,0
CONTAINS WATER,0
COPOLYMER OF ACRYLIC AND SULPHONIC ACIDS,97953-25-8
COPOLYMER OF ACRYLIC MALEIC AND SULPHONIC ACIDS,withheld
